class,policy,reward,enemy,wins,n,rate,ci95_low,ci95_high
tide,planner,skip,Bat,1000,1000,1.0,0.996173241514445,1
tide,planner,skip,Goblin,1000,1000,1.0,0.996173241514445,1
tide,planner,skip,Troll,1000,1000,1.0,0.996173241514445,1
tide,planner,skip,Necromancer,1000,1000,1.0,0.996173241514445,1
tide,planner,skip,Dragon,984,1000,0.984,0.97416793978826,0.9901277579977227
tide,planner,random,Bat,1000,1000,1.0,0.996173241514445,1
tide,planner,random,Goblin,1000,1000,1.0,0.996173241514445,1
tide,planner,random,Troll,1000,1000,1.0,0.996173241514445,1
tide,planner,random,Necromancer,1000,1000,1.0,0.996173241514445,1
tide,planner,random,Dragon,993,1000,0.993,0.9856216845342334,0.9966051315990092
tide,greedy,skip,Bat,500,500,1.0,0.9923756595384479,1
tide,greedy,skip,Goblin,500,500,1.0,0.9923756595384479,1
tide,greedy,skip,Troll,500,500,1.0,0.9923756595384479,1
tide,greedy,skip,Necromancer,500,500,1.0,0.9923756595384479,1
tide,greedy,skip,Dragon,348,500,0.696,0.6543133215963362,0.7346979369427353
tide,greedy,random,Bat,500,500,1.0,0.9923756595384479,1
tide,greedy,random,Goblin,500,500,1.0,0.9923756595384479,1
tide,greedy,random,Troll,500,500,1.0,0.9923756595384479,1
tide,greedy,random,Necromancer,500,500,1.0,0.9923756595384479,1
tide,greedy,random,Dragon,438,500,0.876,0.8442125871122163,0.9020539088606966
tide,random,skip,Bat,500,500,1.0,0.9923756595384479,1
tide,random,skip,Goblin,490,500,0.98,0.9635798167531208,0.9891008164037892
tide,random,skip,Troll,419,500,0.838,0.8031477342378299,0.8676982116101608
tide,random,skip,Necromancer,86,500,0.172,0.1414541198436514,0.20754744749912687
tide,random,skip,Dragon,12,500,0.024,0.013781314655496986,0.041477057463900756
tide,random,random,Bat,500,500,1.0,0.9923756595384479,1
tide,random,random,Goblin,492,500,0.984,0.9687488914666058,0.9918707469666117
tide,random,random,Troll,459,500,0.918,0.8906451408426114,0.9389809105315311
tide,random,random,Necromancer,183,500,0.366,0.32494760488221347,0.40909571836148256
tide,random,random,Dragon,12,500,0.024,0.013781314655496986,0.041477057463900756
pyro,planner,skip,Bat,1000,1000,1.0,0.996173241514445,1
pyro,planner,skip,Goblin,1000,1000,1.0,0.996173241514445,1
pyro,planner,skip,Troll,1000,1000,1.0,0.996173241514445,1
pyro,planner,skip,Necromancer,995,1000,0.995,0.9883490446266249,0.9978624644726756
pyro,planner,skip,Dragon,454,1000,0.454,0.4233763038248614,0.48497575795580966
pyro,planner,random,Bat,1000,1000,1.0,0.996173241514445,1
pyro,planner,random,Goblin,1000,1000,1.0,0.996173241514445,1
pyro,planner,random,Troll,1000,1000,1.0,0.996173241514445,1
pyro,planner,random,Necromancer,999,1000,0.999,0.9943574414020421,0.9998234536293739
pyro,planner,random,Dragon,789,1000,0.789,0.7626295063588951,0.813158627236454
pyro,greedy,skip,Bat,500,500,1.0,0.9923756595384479,1
pyro,greedy,skip,Goblin,500,500,1.0,0.9923756595384479,1
pyro,greedy,skip,Troll,500,500,1.0,0.9923756595384479,1
pyro,greedy,skip,Necromancer,496,500,0.992,0.9796129641658948,0.9968846848199377
pyro,greedy,skip,Dragon,257,500,0.514,0.47025151158007206,0.5575350068870044
pyro,greedy,random,Bat,500,500,1.0,0.9923756595384479,1
pyro,greedy,random,Goblin,500,500,1.0,0.9923756595384479,1
pyro,greedy,random,Troll,500,500,1.0,0.9923756595384479,1
pyro,greedy,random,Necromancer,499,500,0.998,0.9887592932948532,0.9996468636054407
pyro,greedy,random,Dragon,339,500,0.678,0.6358218272211889,0.7174639075744986
pyro,random,skip,Bat,500,500,1.0,0.9923756595384479,1
pyro,random,skip,Goblin,493,500,0.986,0.9713869308622147,0.9932022102091564
pyro,random,skip,Troll,430,500,0.86,0.826833135055546,0.8876773398121365
pyro,random,skip,Necromancer,134,500,0.268,0.23105397343634806,0.30848372053781226
pyro,random,skip,Dragon,11,500,0.022,0.012328008269927582,0.03896086121131637
pyro,random,random,Bat,500,500,1.0,0.9923756595384479,1
pyro,random,random,Goblin,496,500,0.992,0.9796129641658948,0.9968846848199377
pyro,random,random,Troll,457,500,0.914,0.8861601885014425,0.9355268575963924
pyro,random,random,Necromancer,211,500,0.422,0.37946637498097113,0.4657230221310311
pyro,random,random,Dragon,32,500,0.064,0.04569601604478943,0.08895240883768415
night,planner,skip,Bat,1000,1000,1.0,0.996173241514445,1
night,planner,skip,Goblin,1000,1000,1.0,0.996173241514445,1
night,planner,skip,Troll,939,1000,0.939,0.9224198811757163,0.9522202248739662
night,planner,skip,Necromancer,937,1000,0.937,0.920205076295354,0.9504503367882711
night,planner,skip,Dragon,929,1000,0.929,0.9113863365698452,0.9433303046495486
night,planner,random,Bat,1000,1000,1.0,0.996173241514445,1
night,planner,random,Goblin,1000,1000,1.0,0.996173241514445,1
night,planner,random,Troll,965,1000,0.965,0.9517133776255466,0.9747277369828871
night,planner,random,Necromancer,952,1000,0.952,0.936933911349866,0.963606698979192
night,planner,random,Dragon,908,1000,0.908,0.8884912646437558,0.9243861004320312
night,greedy,skip,Bat,500,500,1.0,0.9923756595384479,1
night,greedy,skip,Goblin,500,500,1.0,0.9923756595384479,1
night,greedy,skip,Troll,494,500,0.988,0.9740696388835527,0.9944890048259724
night,greedy,skip,Necromancer,486,500,0.972,0.9535535973250511,0.9832490252792436
night,greedy,skip,Dragon,341,500,0.682,0.6399250012484168,0.7212997388235782
night,greedy,random,Bat,500,500,1.0,0.9923756595384479,1
night,greedy,random,Goblin,500,500,1.0,0.9923756595384479,1
night,greedy,random,Troll,498,500,0.996,0.9855342847848231,0.9989023694773173
night,greedy,random,Necromancer,494,500,0.988,0.9740696388835527,0.9944890048259724
night,greedy,random,Dragon,377,500,0.754,0.7144078267312022,0.7897190083143293
night,random,skip,Bat,500,500,1.0,0.9923756595384479,1
night,random,skip,Goblin,421,500,0.842,0.8074376489887337,0.8713473021355645
night,random,skip,Troll,237,500,0.474,0.43059811407349635,0.5177983516305045
night,random,skip,Necromancer,39,500,0.078,0.05758139347616159,0.10485354987338852
