class,policy,reward,seed,stage,win,turns,hp,max_hp,hp_spent,hp_restored,cards_drawn,casts,deck_size,timeout
night,planner,skip,10000,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10000,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10000,2,1,4,10,22,10,14,0,7,20,0
night,planner,skip,10000,3,1,4,13,22,10,23,0,8,20,0
night,planner,skip,10000,4,1,5,12,22,8,35,6,9,20,0
night,planner,skip,10001,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10001,1,1,2,13,22,7,5,0,4,20,0
night,planner,skip,10001,2,0,2,0,22,10,2,0,4,20,0
night,planner,skip,10001,3,0,2,0,22,10,2,0,4,20,0
night,planner,skip,10001,4,1,6,14,22,6,45,0,11,20,0
night,planner,skip,10002,0,1,2,19,22,3,4,0,3,20,0
night,planner,skip,10002,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10002,2,1,4,10,22,10,14,0,7,20,0
night,planner,skip,10002,3,0,2,0,22,10,2,0,4,20,0
night,planner,skip,10002,4,1,4,18,22,12,28,6,8,20,0
night,planner,skip,10003,0,1,2,20,22,0,2,0,3,20,0
night,planner,skip,10003,1,1,2,13,22,7,5,0,4,20,0
night,planner,skip,10003,2,1,3,9,22,14,9,0,6,20,0
night,planner,skip,10003,3,1,4,9,22,13,18,0,8,20,0
night,planner,skip,10003,4,1,4,16,22,10,28,10,7,20,0
night,planner,skip,10004,0,1,2,19,22,3,0,0,3,20,0
night,planner,skip,10004,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10004,2,1,3,18,22,10,14,0,6,20,0
night,planner,skip,10004,3,0,3,0,22,10,9,0,6,20,0
night,planner,skip,10004,4,1,4,3,22,13,19,0,7,20,0
night,planner,skip,10005,0,1,2,22,22,0,0,0,3,20,0
night,planner,skip,10005,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10005,2,1,4,10,22,10,14,0,7,20,0
night,planner,skip,10005,3,1,4,9,22,10,17,0,8,20,0
night,planner,skip,10005,4,1,4,7,22,15,27,6,8,20,0
night,planner,skip,10006,0,1,2,20,22,3,5,0,3,20,0
night,planner,skip,10006,1,1,2,13,22,7,4,0,4,20,0
night,planner,skip,10006,2,1,4,7,22,11,12,0,7,20,0
night,planner,skip,10006,3,1,4,17,22,7,20,0,8,20,0
night,planner,skip,10006,4,1,5,22,22,8,41,10,10,20,0
night,planner,skip,10007,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10007,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10007,2,1,3,18,22,8,12,0,6,20,0
night,planner,skip,10007,3,1,4,15,22,10,23,0,8,20,0
night,planner,skip,10007,4,1,5,19,22,8,39,8,10,20,0
night,planner,skip,10008,0,1,2,22,22,3,3,0,3,20,0
night,planner,skip,10008,1,1,2,19,22,4,8,0,4,20,0
night,planner,skip,10008,2,1,3,7,22,13,6,0,6,20,0
night,planner,skip,10008,3,1,4,21,22,7,26,0,8,20,0
night,planner,skip,10008,4,1,5,20,22,9,39,6,10,20,0
night,planner,skip,10009,0,1,2,22,22,3,3,0,3,20,0
