class,policy,reward,spell_id,spell_name,casts
night,greedy,random,bolt,Heartseeker,2115
night,greedy,random,dawn,Eclipse,647
night,greedy,random,gem_E,Root,29
night,greedy,random,mend,Blood Offering,2516
night,greedy,random,pulse,Pulse,205
night,greedy,random,shard,Night Fang,196
night,greedy,random,twin,Siphon,1371
night,greedy,random,ward,Soul Feast,2685
night,greedy,random,weave_BE0,Briar Blood,43
night,greedy,random,weave_BE1,Heartwood,74
night,greedy,random,weave_BE2,Thorn Pact,2
night,greedy,random,weave_DB0,Blood Hex,2220
night,greedy,random,weave_DB1,Grave Thirst,964
night,greedy,random,weave_DBE,Gravebloom,887
night,greedy,random,weave_DE0,Grave Root,23
night,greedy,random,weave_DE2,Obsidian Fang,5
night,greedy,skip,bolt,Heartseeker,2305
night,greedy,skip,dawn,Eclipse,640
night,greedy,skip,mend,Blood Offering,2587
night,greedy,skip,pulse,Pulse,290
night,greedy,skip,shard,Night Fang,262
night,greedy,skip,twin,Siphon,1458
night,greedy,skip,ward,Soul Feast,3453
night,greedy,skip,weave_DB0,Blood Hex,2268
night,greedy,skip,weave_DB1,Grave Thirst,941
night,planner,random,bolt,Heartseeker,3526
night,planner,random,dawn,Eclipse,1600
night,planner,random,gem_E,Root,73
night,planner,random,mend,Blood Offering,5353
night,planner,random,pulse,Pulse,327
night,planner,random,scry,Forbidden Pact,154
night,planner,random,shard,Night Fang,1253
night,planner,random,study,Grave Bargain,536
night,planner,random,twin,Siphon,2708
night,planner,random,ward,Soul Feast,5219
night,planner,random,weave_BE0,Briar Blood,173
night,planner,random,weave_BE1,Heartwood,202
night,planner,random,weave_BE2,Thorn Pact,12
night,planner,random,weave_DB0,Blood Hex,4587
night,planner,random,weave_DB1,Grave Thirst,1929
night,planner,random,weave_DB2,Scarlet Pact,177
night,planner,random,weave_DBE,Gravebloom,1556
night,planner,random,weave_DE0,Grave Root,210
night,planner,random,weave_DE1,Buried Memory,23
night,planner,random,weave_DE2,Obsidian Fang,20
night,planner,skip,bolt,Heartseeker,3821
night,planner,skip,dawn,Eclipse,1995
night,planner,skip,mend,Blood Offering,5848
night,planner,skip,pulse,Pulse,322
night,planner,skip,scry,Forbidden Pact,195
night,planner,skip,shard,Night Fang,1340
night,planner,skip,study,Grave Bargain,647
night,planner,skip,twin,Siphon,2596
night,planner,skip,ward,Soul Feast,5896
night,planner,skip,weave_DB0,Blood Hex,4389
night,planner,skip,weave_DB1,Grave Thirst,2240
night,planner,skip,weave_DB2,Scarlet Pact,318
night,random,random,bolt,Heartseeker,917
night,random,random,dawn,Eclipse,94
night,random,random,gem_E,Root,187
night,random,random,mend,Blood Offering,2436
night,random,random,pulse,Pulse,926
night,random,random,scry,Forbidden Pact,749
night,random,random,shard,Night Fang,1705
night,random,random,study,Grave Bargain,209
night,random,random,twin,Siphon,1607
night,random,random,ward,Soul Feast,856
night,random,random,weave_BE0,Briar Blood,218
night,random,random,weave_BE1,Heartwood,112
night,random,random,weave_BE2,Thorn Pact,9
night,random,random,weave_DB0,Blood Hex,1760
night,random,random,weave_DB1,Grave Thirst,1297
night,random,random,weave_DB2,Scarlet Pact,745
night,random,random,weave_DBE,Gravebloom,134
night,random,random,weave_DE0,Grave Root,138
night,random,random,weave_DE1,Buried Memory,55
night,random,random,weave_DE2,Obsidian Fang,7
night,random,skip,bolt,Heartseeker,1035
night,random,skip,dawn,Eclipse,102
night,random,skip,mend,Blood Offering,2550
night,random,skip,pulse,Pulse,929
night,random,skip,scry,Forbidden Pact,761
night,random,skip,shard,Night Fang,1804
night,random,skip,study,Grave Bargain,223
night,random,skip,twin,Siphon,1616
night,random,skip,ward,Soul Feast,991
night,random,skip,weave_DB0,Blood Hex,1753
night,random,skip,weave_DB1,Grave Thirst,1334
night,random,skip,weave_DB2,Scarlet Pact,774
pyro,greedy,random,bolt,Flame Lance,413
pyro,greedy,random,dawn,Wildfire,1059
pyro,greedy,random,gem_B,Blood Bloom,105
pyro,greedy,random,gem_D,Hex,183
pyro,greedy,random,gem_E,Root,35
pyro,greedy,random,mend,Cooling Breath,254
pyro,greedy,random,pulse,Pulse,106
pyro,greedy,random,shard,Firebrand,336
pyro,greedy,random,twin,Kindle,3014
pyro,greedy,random,ward,Backdraft,383
pyro,greedy,random,weave_BA1,Razorwind,5
pyro,greedy,random,weave_BA2,Second Heart,101
pyro,greedy,random,weave_BE0,Briar Blood,25
pyro,greedy,random,weave_BE2,Thorn Pact,1
pyro,greedy,random,weave_BEA,Wildheart,35
pyro,greedy,random,weave_BEF,Molten Heart,91
pyro,greedy,random,weave_BF0,Bloodfire,162
pyro,greedy,random,weave_BF1,Crimson Ember,12
