class,policy,reward,seed,stage,win,turns,hp,max_hp,hp_spent,hp_restored,cards_drawn,casts,deck_size,timeout
tide,greedy,skip,10000,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10000,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10000,2,1,4,14,30,0,0,0,6,20,0
tide,greedy,skip,10000,3,1,9,10,30,0,50,0,16,20,0
tide,greedy,skip,10000,4,0,7,0,30,0,42,0,11,20,0
tide,greedy,skip,10001,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10001,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10001,2,1,6,21,30,0,23,0,10,20,0
tide,greedy,skip,10001,3,1,10,20,30,0,72,0,19,20,0
tide,greedy,skip,10001,4,0,12,0,30,0,98,0,23,20,0
tide,greedy,skip,10002,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10002,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10002,2,1,4,21,30,0,7,0,7,20,0
tide,greedy,skip,10002,3,1,9,11,30,0,49,0,16,20,0
tide,greedy,skip,10002,4,1,5,1,30,0,10,0,6,20,0
tide,greedy,skip,10003,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10003,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10003,2,1,6,14,30,0,16,0,10,20,0
tide,greedy,skip,10003,3,1,7,17,30,0,31,0,13,20,0
tide,greedy,skip,10003,4,1,8,1,30,0,41,0,12,20,0
tide,greedy,skip,10004,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10004,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10004,2,1,6,19,30,0,21,0,11,20,0
tide,greedy,skip,10004,3,1,8,18,30,0,50,0,14,20,0
tide,greedy,skip,10004,4,1,11,11,30,0,85,0,21,20,0
tide,greedy,skip,10005,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10005,1,1,2,23,30,0,0,0,4,20,0
tide,greedy,skip,10005,2,1,5,22,30,0,16,0,9,20,0
tide,greedy,skip,10005,3,1,9,16,30,0,56,0,16,20,0
tide,greedy,skip,10005,4,1,6,2,30,0,19,0,8,20,0
tide,greedy,skip,10006,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10006,1,1,3,17,30,0,0,0,4,20,0
tide,greedy,skip,10006,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10006,3,1,6,11,30,0,23,0,10,20,0
tide,greedy,skip,10006,4,0,5,0,30,0,15,0,7,20,0
tide,greedy,skip,10007,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10007,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10007,2,1,5,14,30,0,8,0,8,20,0
tide,greedy,skip,10007,3,1,7,14,30,0,34,0,13,20,0
tide,greedy,skip,10007,4,1,8,2,30,0,45,0,13,20,0
tide,greedy,skip,10008,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10008,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10008,2,1,6,19,30,0,21,0,9,20,0
tide,greedy,skip,10008,3,1,10,18,30,0,66,0,18,20,0
tide,greedy,skip,10008,4,1,8,2,30,0,44,0,12,20,0
tide,greedy,skip,10009,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10009,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10009,2,1,5,18,30,0,12,0,8,20,0
tide,greedy,skip,10009,3,1,7,19,30,0,35,0,13,20,0
tide,greedy,skip,10009,4,1,10,3,30,0,69,0,17,20,0
tide,greedy,skip,10010,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10010,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10010,2,1,5,22,30,0,16,0,9,20,0
tide,greedy,skip,10010,3,1,9,7,30,0,51,0,16,20,0
tide,greedy,skip,10010,4,1,7,1,30,0,29,0,10,20,0
tide,greedy,skip,10011,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10011,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10011,2,1,5,18,30,0,12,0,8,20,0
tide,greedy,skip,10011,3,1,8,8,30,0,38,0,14,20,0
tide,greedy,skip,10011,4,1,8,8,30,0,46,0,13,20,0
tide,greedy,skip,10012,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10012,1,1,3,21,30,0,5,0,5,20,0
tide,greedy,skip,10012,2,1,5,19,30,0,13,0,8,20,0
tide,greedy,skip,10012,3,1,9,7,30,0,49,0,15,20,0
tide,greedy,skip,10012,4,1,6,9,30,0,23,0,8,20,0
tide,greedy,skip,10013,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10013,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10013,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10013,3,1,10,19,30,0,67,0,18,20,0
tide,greedy,skip,10013,4,0,6,0,30,0,25,0,9,20,0
tide,greedy,skip,10014,0,1,3,30,30,0,2,0,4,20,0
tide,greedy,skip,10014,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10014,2,1,5,14,30,0,8,0,7,20,0
tide,greedy,skip,10014,3,1,8,11,30,0,43,0,14,20,0
tide,greedy,skip,10014,4,0,5,0,30,0,16,0,8,20,0
tide,greedy,skip,10015,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10015,1,1,4,16,30,0,7,0,5,20,0
tide,greedy,skip,10015,2,1,6,13,30,0,15,0,9,20,0
tide,greedy,skip,10015,3,1,8,15,30,0,45,0,14,20,0
tide,greedy,skip,10015,4,1,10,9,30,0,67,0,16,20,0
tide,greedy,skip,10016,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10016,1,1,4,14,30,0,5,0,6,20,0
tide,greedy,skip,10016,2,1,6,18,30,0,20,0,10,20,0
tide,greedy,skip,10016,3,1,11,13,30,0,75,0,19,20,0
tide,greedy,skip,10016,4,1,9,7,30,0,55,0,14,20,0
tide,greedy,skip,10017,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10017,1,1,3,21,30,0,5,0,5,20,0
tide,greedy,skip,10017,2,1,5,16,30,0,10,0,7,20,0
tide,greedy,skip,10017,3,1,11,16,30,0,78,0,20,20,0
tide,greedy,skip,10017,4,0,6,0,30,0,28,0,9,20,0
tide,greedy,skip,10018,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10018,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10018,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10018,3,1,8,11,30,0,41,0,14,20,0
tide,greedy,skip,10018,4,1,6,8,30,0,23,0,9,20,0
tide,greedy,skip,10019,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10019,1,1,2,23,30,0,0,0,4,20,0
tide,greedy,skip,10019,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10019,3,1,8,12,30,0,38,0,13,20,0
