class,policy,reward,campaigns,wins,win_rate,ci95_low,ci95_high,mean_turns_per_fight,mean_hp_spent,mean_hp_restored,mean_hp_remaining
tide,planner,skip,1000,984,0.984,0.97416793978826,0.9901277579977227,4.2834,0,15.1944,20.3408
tide,planner,random,1000,993,0.993,0.9856216845342334,0.9966051315990092,4.0672,0,14.446,21.2024
tide,greedy,skip,500,348,0.696,0.6543133215963362,0.7346979369427353,5.354,0,21.62,16.4092
tide,greedy,random,500,438,0.876,0.8442125871122163,0.9020539088606966,4.9796,0,19.7836,17.6564
tide,random,skip,500,0,0.0,4.336808689942018e-19,0.007624340461552241,5.5732,0,17.3596,11.0368
tide,random,random,500,3,0.006,0.0020425962719602363,0.01749025210405338,5.5384,0,17.8672,11.8988
pyro,planner,skip,1000,453,0.453,0.42238588647477426,0.483973828822868,2.7794,1.1236,2.5526,17.4502
pyro,planner,random,1000,788,0.788,0.7615898394196515,0.8122059476926687,2.7126,1.0444,2.795,18.4814
pyro,greedy,skip,500,253,0.506,0.4622986388334935,0.5496098690809679,2.9716,0.6392,2.0332,16.0008
pyro,greedy,random,500,339,0.678,0.6358218272211889,0.7174639075744986,2.8696,0.8304,2.1484,16.7424
pyro,random,skip,500,2,0.004,0.0010976305226827934,0.014465715215177033,3.6336,0.5456,2.9644,10.3484
pyro,random,random,500,11,0.022,0.012328008269927582,0.03896086121131637,3.6912,0.5688,4.2352,11.2568
night,planner,skip,1000,816,0.816,0.7907901792135869,0.8387913094235423,3.1006,7.4568,14.6844,15.5856
night,planner,random,1000,834,0.834,0.8096691971622607,0.8557745281693885,3.1052,6.8058,14.865,16.4424
night,greedy,skip,500,327,0.654,0.6112729349259212,0.6943787682119209,3.3368,6.7924,13.7008,12.3184
night,greedy,random,500,370,0.74,0.6998260397638378,0.7765142768146172,3.2656,6.4392,13.2252,13.2464
night,random,skip,500,1,0.002,0.00035313639455927456,0.011240706705146758,3.0572,6.6944,7.3132,5.9628
night,random,random,500,0,0.0,4.336808689942018e-19,0.007624340461552241,3.1148,6.4848,7.6612,6.028
